sample_wall_ns,session,event,event_generation,event_wall_ns,overwritten_samples,capture_audio_timestamp_ns,capture_audio_wall_ns,capture_audio_timestamp_delta_ns,capture_audio_wall_delta_ns,capture_audio_ndi_timestamp_100ns,capture_audio_ndi_timecode_100ns,capture_audio_frames,capture_audio_sample_rate,capture_audio_channels,capture_audio_observations,capture_audio_pacing_anomalies,capture_video_timestamp_ns,capture_video_wall_ns,capture_video_timestamp_delta_ns,capture_video_wall_delta_ns,capture_video_ndi_timestamp_100ns,capture_video_ndi_timecode_100ns,capture_video_width,capture_video_height,capture_video_unused,capture_video_observations,capture_video_pacing_anomalies,output_audio_timestamp_ns,output_audio_wall_ns,output_audio_timestamp_delta_ns,output_audio_wall_delta_ns,output_audio_ndi_timestamp_100ns,output_audio_ndi_timecode_100ns,output_audio_frames,output_audio_sample_rate,output_audio_channels,output_audio_observations,output_audio_pacing_anomalies,output_video_timestamp_ns,output_video_wall_ns,output_video_timestamp_delta_ns,output_video_wall_delta_ns,output_video_ndi_timestamp_100ns,output_video_ndi_timecode_100ns,output_video_width,output_video_height,output_video_unused,output_video_observations,output_video_pacing_anomalies,filtered_audio_timestamp_ns,filtered_audio_wall_ns,filtered_audio_timestamp_delta_ns,filtered_audio_wall_delta_ns,filtered_audio_ndi_timestamp_100ns,filtered_audio_ndi_timecode_100ns,filtered_audio_frames,filtered_audio_unused_a,filtered_audio_unused_b,filtered_audio_observations,filtered_audio_pacing_anomalies,selected_video_timestamp_ns,selected_video_wall_ns,selected_video_timestamp_delta_ns,selected_video_wall_delta_ns,selected_video_ndi_timestamp_100ns,selected_video_ndi_timecode_100ns,selected_video_unused_a,selected_video_unused_b,selected_video_unused_c,selected_video_observations,selected_video_pacing_anomalies,mode,receiver_epoch_ns,next_audio_deadline_ns,next_video_deadline_ns,cumulative_audio_frames,video_ticks,audio_deadline_error_ns,video_deadline_error_ns,audio_catchups,video_catchups,repeated_video_frames,empty_audio_pulls,empty_video_pulls,ndi_total_audio_frames,ndi_total_video_frames,ndi_dropped_audio_frames,ndi_dropped_video_frames,ndi_queued_audio_frames,ndi_queued_video_frames,capture_video_minus_capture_audio_projected_ns,output_video_minus_output_audio_projected_ns,selected_video_minus_output_video_projected_ns,filtered_audio_minus_output_audio_projected_ns,selected_video_minus_filtered_audio_projected_ns
289907017656000,1,,3,0,0,1784445667111288300,289907017643900,21333300,21090000,17844456670907507,17844456671112883,1024,48000,2,242,6,1784445667073778400,289907001854700,16666700,15112800,17844456670581382,17844456670737784,3840,2160,0,308,3,1784445667111288300,289907017644300,21333300,21090200,0,0,1024,48000,2,242,6,1784445667073778400,289907001855100,16666700,15112600,0,0,3840,2160,0,308,3,1784445667111288300,289907017648800,0,200,0,0,1024,0,0,968,732,1784445667040445000,289907001458900,0,200,0,0,0,0,0,1224,919,0,0,0,0,0,0,0,0,0,0,0,0,0,242,308,0,0,0,0,-21720700,-21720700,-32937200,-4500,-54653400
289907270551900,1,,3,0,0,1784445667345954600,289907252175800,21333300,20990900,17844456673253448,17844456673459546,1024,48000,2,253,6,1784445667340445600,289907268727700,16666700,16033400,17844456673248838,17844456673404456,3840,2160,0,324,3,1784445667345954600,289907252175900,21333300,20990800,0,0,1024,48000,2,253,6,1784445667340445600,289907268728100,16666700,16033300,0,0,3840,2160,0,324,3,1784445667345954600,289907252181100,0,400,0,0,1024,0,0,1012,765,1784445667307112200,289907268122700,0,100,0,0,0,0,0,1288,967,0,0,0,0,0,0,0,0,0,0,0,0,0,253,324,0,0,0,0,-22060900,-22061200,-32728000,-5200,-54784000
289907521838700,1,,3,0,0,1784445667601954200,289907508671300,21333300,20357100,17844456675817165,17844456676019542,1024,48000,2,265,6,1784445667590446100,289907520179200,16666700,17462000,17844456675752609,17844456675904461,3840,2160,0,339,3,1784445667601954200,289907508671500,21333300,20357300,0,0,1024,48000,2,265,6,1784445667590446100,289907520179600,16666700,17462000,0,0,3840,2160,0,339,3,1784445667601954200,289907508673300,0,0,0,0,1024,0,0,1060,801,1784445667557112700,289907518124500,0,100,0,0,0,0,0,1348,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,265,339,0,0,0,0,-23016000,-23016200,-31278300,-1800,-54292700
289907785343800,1,,3,0,0,1784445667879287100,289907785333200,21333300,21417900,17844456678585318,17844456678792871,1024,48000,2,278,6,1784445667840446600,289907768868300,16666700,15912100,17844456678246568,17844456678404466,3840,2160,0,354,3,1784445667879287100,289907785333500,21333300,21418100,0,0,1024,48000,2,278,6,1784445667840446600,289907768868800,16666700,15912300,0,0,3840,2160,0,354,3,1784445667879287100,289907785337300,0,200,0,0,1024,0,0,1112,840,1784445667823779900,289907784790900,0,200,0,0,0,0,0,1412,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,278,354,0,0,0,0,-22375600,-22375800,-32588800,-3800,-54960800
289908037938600,1,,3,0,0,1784445668113953400,289908020658900,21333300,21650300,17844456680935983,17844456681139534,1024,48000,2,289,6,1784445668107113800,289908036161200,16666700,17291500,17844456680916871,17844456681071138,3840,2160,0,370,3,1784445668113953400,289908020659000,21333300,21650300,0,0,1024,48000,2,289,6,1784445668107113800,289908036161400,16666700,17291000,0,0,3840,2160,0,370,3,1784445668113953400,289908020661600,0,200,0,0,1024,0,0,1156,873,1784445668073780400,289908034786300,0,200,0,0,0,0,0,1472,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,289,370,0,0,0,0,-22341900,-22342000,-31958300,-2600,-54297700
289908297547900,1,,3,0,0,1784445668391286300,289908297541100,21333300,21439700,17844456683706220,17844456683912863,1024,48000,2,302,6,1784445668357114300,289908285492700,16666700,16062700,17844456683415719,17844456683571143,3840,2160,0,385,3,1784445668391286300,289908297541400,21333300,21439900,0,0,1024,48000,2,302,6,1784445668357114300,289908285493200,16666700,16062300,0,0,3840,2160,0,385,3,1784445668391286300,289908297543600,0,100,0,0,1024,0,0,1208,912,1784445668323780900,289908284790900,0,100,0,0,0,0,0,1532,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,302,385,0,0,0,0,-22123600,-22123800,-32631100,-2200,-54752700
289908554873500,1,,3,0,0,1784445668625952600,289908532055100,21333300,21262600,17844456686051210,17844456686259526,1024,48000,2,313,6,1784445668623781500,289908553033500,16666700,17756000,17844456686080842,17844456686237815,3840,2160,0,401,3,1784445668625952600,289908532055200,21333300,21262600,0,0,1024,48000,2,313,6,1784445668623781500,289908553034400,16666700,17756200,0,0,3840,2160,0,401,3,1784445668625952600,289908532057500,0,200,0,0,1024,0,0,1252,945,1784445668590448100,289908551455000,0,100,0,0,0,0,0,1596,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,314,401,0,0,1,0,-23149500,-23150300,-31754000,-2300,-54902000
289908809604100,1,,3,0,0,1784445668903285500,289908809597500,21333300,21718700,17844456688827024,17844456689032855,1024,48000,2,326,6,1784445668873782000,289908802369700,16666700,16356700,17844456688582384,17844456688737820,3840,2160,0,416,3,1784445668903285500,289908809597700,21333300,21718700,0,0,1024,48000,2,326,6,1784445668873782000,289908802370400,16666700,16356300,0,0,3840,2160,0,416,3,1784445668903285500,289908809599900,0,100,0,0,1024,0,0,1304,984,1784445668840448600,289908801463200,0,200,0,0,0,0,0,1656,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,326,416,0,0,0,0,-22275700,-22276200,-32426200,-2200,-54700200
289909066005900,1,,3,0,0,1784445669159285100,289909065998200,21333300,21553600,17844456691394155,17844456691592851,1024,48000,2,338,6,1784445669123782500,289909052806400,16666700,16318800,17844456691086876,17844456691237825,3840,2160,0,431,3,1784445669159285100,289909065998700,21333300,21554000,0,0,1024,48000,2,338,6,1784445669123782500,289909052807600,16666700,16319700,0,0,3840,2160,0,431,3,1784445669159285100,289909066001200,0,100,0,0,1024,0,0,1352,1020,1784445669090449100,289909051486200,0,200,0,0,0,0,0,1716,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,338,431,0,0,0,0,-22310800,-22311500,-32012000,-2500,-54321000
289909320590000,1,,3,0,0,1784445669393951400,289909301389900,21333300,22655500,17844456693741135,17844456693939514,1024,48000,2,349,6,1784445669390449700,289909318864700,16666700,16155100,17844456693750230,17844456693904497,3840,2160,0,447,3,1784445669393951400,289909301390100,21333300,22655500,0,0,1024,48000,2,349,6,1784445669390449700,289909318865300,16666700,16154900,0,0,3840,2160,0,447,3,1784445669393951400,289909301391900,0,100,0,0,1024,0,0,1396,1053,1784445669357116300,289909318121700,0,100,0,0,0,0,0,1780,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,349,447,0,0,0,0,-20976500,-20976900,-32589800,-1800,-53564900
